Query	UserId	ChatsQuantity	BotAnswer	BotHelp	Lenth
учет беспроцентных договоров займа между юридическими лицами	1868911	1	0	0	7
можно ли перевести валютный займ в рублевый?	1868911	1	0	0	7
можно ли Вам отправить декларацию на проверку?	5114919	1	0	0	7
Регулярность предоставления уведомления о льготной ставке НДС	2876139	1	0	0	7
Подскажите пожалуйста, как подать отчетность на ГИРБО?	3551719	1	0	0	7
А на какую дату переться ставка ЦБ?	4326046	1	0	0	7
порядок заполнения 6-ндфл за 1 квартал 2024	630400	1	0	0	7
Да сотрудник уволился и нет возможности удержать	2378876	1	0	0	7
реквизиты по уплате пени по требованию фсс	9400001	1	0	0	7
как открыть казначейский счет с кодом 71	16787624	1	0	0	7
"добрый день! не поступают рассылки 
системы Главбух."	1685006	1	0	0	7
"нет , не отписывалась ,прошу включить
включить рассылки."	1685006	1	0	0	7
Покупатель зарегистрирован и ведет деятельность в РФ.	11555875	1	0	0	7
экспорт оплата 7 % от таможенной стоимости	2501636	1	0	0	7
как отразть в учетте обучениеот актион ?	7791634	1	0	0	7
Налоговый расчёт по доходам, выплаченным иностранным организациям	13219981	1	0	0	7
как узнать тел. моего менеджера по сопровождению	610332	1	0	0	7
Подскажите, как применяется ПБУ-2 при убыточном проекте?	3551719	1	0	0	7
Добрый день, форма инвентаризации резерва на вознаграждение	17651084	1	0	0	7
навигатор по 6 ндфл в 2024 году	833802	1	0	0	7
"Добрый день! 
запись на вебинар на 09.04.24"	6391125	1	0	0	7
Взаимодействие с ЦФР при выплате пособий видео	20345665	1	0	0	7
Письмо Минфина России от 30.12.2020 N 03-11-11/116181	1561253	1	0	0	7
Здравствуйте! Нужна информация, что можно включить подотчет	9854928	1	0	0	7
это не приставы, это уголовная исполнительная инспекция	1825316	1	0	0	7
они не отвечают, до них не дозвонится	1825316	1	0	0	7
Распространяется ли это на нематериальные поисковые активы?	1506019	1	0	0	7
А ставить как ОС в учете нужно?	21738093	1	0	0	7
Добрый день. Как учеть покупку системы главбух?	7595041	1	0	0	7
Добрый день! При увольнении когда выплачивают расчет?	21758004	1	0	0	7
Добрый день, можно ли пересдать годовую отчетность?	6352357	1	0	0	7
обязателен ли график гашения займов. Добрый день.	1776140	1	0	0	7
оплата за аренду имущества облагаются страховыми взносами?	9024301	1	0	0	7
Здравствуйте! как учесть электрический отпариватель в бюджете	7814348	1	0	0	7
а подскажите, как можно заказать акт сверки?	18025810	1	0	0	7
НДФЛ с диведендов можно заплатить на енс?	11477289	1	0	0	7
форма агентского договора по оплате импортного товара	20166947	1	0	0	7
По какой строчке в балансе выплачиваем дивиденды	9367264	1	0	0	7
Добрый день! Как правильно вносить лизинговые платежи?	21629142	1	0	0	7
как мне уточнить вопрос, ранее заданный экспертам?	1923684	1	0	0	7
сроки сдачи отчетности за 1 квартал 2024г	6251697	1	0	0	7
ИП забыл заплатить патент 1/3, какие последствия?	1599589	1	0	0	7
как уменьшить штраф за несвоевоременную сдачу отчета	739243	1	0	0	7
Данная ссылка не содержит ответ на вопрос	385483	1	0	0	7
счет на оплату 7 376 от 30.11.2023	181832	1	0	0	7
МОНО ЛИ НАЛОГОВОЙ ОТПРВЛЯТЬ ЦВЕТНЫЕ СКАНЫ ДОКУМЕНТОВ?	18728122	1	0	0	7
СООБЩЕНИЕ О НАЛИЧИИ ТРАНСПОРТНЫХ СРЕДСТВ в налговую	3424176	1	0	0	7
можно ли объединить основные средства в одно?	17934660	1	0	0	7
Статья о присоединении ,а у нас выделение	21715993	1	0	0	7
подскажите, на копии исполнительного листа надо писать?	18025810	1	0	0	7
Что является для некоммерческой организации основными фондами?	11798126	1	0	0	7
Как сдать уточненные суммы по усн корректировку	1825316	1	0	0	7
Добрый день! Как производить выплаты ликвидационной комиссии ГУПа?	19231008	1	0	0	8
Добрый день! Как я могу задать вопрос эксперту?	15663628	1	0	0	8
добрый день! нужно ли удерживать альменты с аванса?	2777097	1	0	0	8
подскажите как я ответ увижу во вкладке письменно	1843188	1	0	0	8
Не подлежит. Но как мы поняли формулировка размытая.	9863088	1	0	0	8
как отразить в учете перенос и доработку сайта	20609628	1	0	0	8
как вывести из енс сумму налога к возмещению	2995253	1	0	0	8
ДОбрый день! Теплотрасса и вагончик бытовой это сооружения?	19231008	1	0	0	8
Добрый день. Можно ли добавить второго пользователя konvers2014@mail.ru	8197957	1	0	0	8
какой ОКВЭД — агентские услуги по поиску клиентов?	2855255	1	0	0	8
Добрый день. Кто должен платить налог на роскошь?	8721991	1	0	0	8
Не могу зайти в Кадры и HR ОТДЕЛ	21765695	1	0	0	8
Пример , как правильно заполнить бланк КНД 1122030	5701254	1	0	0	8
По какому КБК начисляются страховые взносы за иностранцев?	9071900	1	0	0	8
Что за пособие до 3хлет на первого ребенка	2701882	1	0	0	8
а как понять в качестве договора или нет	19660161	1	0	0	8
Извините, не смогла сразу ответить , была занята.	4346392	1	0	0	8
Добрый день. Сроки действия нулевой ставки по регионам.	7022701	1	0	0	8
Даёт ли поступление в аспирантуру право для отсрочки	21029657	1	0	0	8
Сколько положено выходных дней по уходу за ребенком-ивалидом?	15197923	1	0	0	8
Спасибо, разобралась, не вижу звездочек в конце диалога	1762335	1	0	0	8
Добрый день. Как можно связаться с куратором ?	467458	1	0	0	8
"Добрый день

Как оформить взнос учредителя в натуральной форме?"	20382983	1	0	0	8
не принята форма ЕФС-1 код ошибки ВС.ЕФС-ОСС. 1.65	3572697	1	0	0	8
оплачивает старое подразделение. у нового нет самостоятельного баланса	2883397	1	0	0	8
Здравствуйте. Должны ли ИП заверять КУДир в налоговой?	1620179	1	0	0	8
Какие обязанности у ответственного за ведение воинского учета?	769241	1	0	0	8
подскажит егде можно рассчитать компенсацию за неиспользованный отпуск	9506014	1	0	0	8
Добрый день, по каким принципам ведет учет криптобиржа?	21183356	1	0	0	8
Коллеги. мы согласны подождать. Передайте пожалуйста наш вопрос.	2340909	1	0	0	8
Здравствуйте, подскажите пожалуйста сроки сдачи отчетности по экосбору	609603	1	0	0	8
Добрый день. Я так и не получила ответ!!!	679875	1	0	0	8
Здравствуйте ,помогите пожалуйста установить Главбух на другой компьютер	675350	1	0	0	8
Кто занимается распределением земельных участков и передачей юрлицу	17096606	1	0	0	8
Безналичные расчеты за исключением ЭСП что такое ЭСП	17015228	1	0	0	8
Добрый день! Сколько вопросов можно задавать в месяц?	428668	1	0	0	8
как рассчитать аванс по доходам ИП на ОСНО	14720389	1	0	0	8
эти правила с 2024 года? или с 2023?	1751322	1	0	0	8
Добрый день! К какой амортизационной группе относится опалубка	20615014	1	0	0	8
оплачивать 1% с дохода свыше 300 тыс ?	2623334	1	0	0	8
здание внесли в уставный капитал- что с НДС	19734152	1	0	0	8
Может ли банк открыть ИП без физ лица	119761	1	0	0	8
Если сумма большая можно ли ее выплатить частично?	9367264	1	0	0	8
изменение в инструкцию банка №181-и с 1 апреля	4825399	1	0	0	8
Покупка использованного товара у контрагента. какие подводные камни?	20375357	1	0	0	8
по какой форме сдаем рсв зв 1 кв.2024	12529888	1	0	0	8
амортизационная группа Сверлильный станок на магнитном основании КМЗ,	3198921	1	0	0	8
Добрый день! Подскажите нужно ли ТТН на брак?	15775781	1	0	0	8
Просьба выслать пояснение (образцы) на экономическое обоснование займов	1776140	1	0	0	8
Добрый день. Подключите пож. рассылки от СИСТЕМА ГЛАВБУХ,	1591029	1	0	0	8
сделали проводку Д 60 К51, счет фактуру оформляем,?	19734152	1	0	0	8
какой код по ОКЗ для токаря? для сзв-тд	5869588	1	0	0	8
впервые встречаю столь некомпетентного сотрудника в системе Главбух.	615342	1	0	0	8
Можно ли переносить вычет при экспорте сырьевых товаров?.	19483368	1	0	0	8
Здравствуйте. Выдадут ли патент при отрицательном сальдо на ЕНС?	267911	1	0	0	9
"статья 19 приказа ФНС России от 08.07.2019 № ММВ-7-
19/343@:"	17015228	1	0	0	9
Доброе утро! Можно ли в налоговую сдать уточненный баланс?	154358	1	0	0	9
Здравствуйте! Подскажите, пож, нужно ли подавать ОКВЭД за 2023год?	979610	1	0	0	9
подскажите, на Бух.балансе и Ф-2 нужно ставить печать компании?	20101380	1	0	0	9
здравствуйте. может ли ген директор исполнять обязанности главного бухгалтера?	11429293	1	0	0	9
Помогите, пожалуйста, подобрать код по классификатору специальностей- высотные работы(фасадчик)	18258579	1	0	0	9
Надо ли на решении участников общества ставить печать организации?	290271	1	0	0	9
Добрый день. Можно уточнить сроки увтерждения бух. отчетности ?	919387	1	0	0	9
добрый вечер, обязательно ли медицинское освидетельствование пьяного работника, спасибо	7527718	1	0	0	9
как отразить передачу товаров для оформления из них каталогов	7791634	1	0	0	9
виды деятельности по патенту для мигрантов в 2024 год	1927649	1	0	0	9
вклад не оплатили более 2 лет , ответственность есть	19734152	1	0	0	9
Здравствуйте! Мы подключили интернет эквайринг, нужна ли нам касса?	6088076	1	0	0	9
Здравствуйте,вернулась претензия,неполученная покупателем (отправляли Почтой РФ),можно ли вскрывать конверт?	702919	1	0	0	9
Как налоговики понимают, что работодатель платит зарплату в конвертах?	6806031	1	0	0	9
откуда налоговики берут данные о среднеотраслевой зарплате по региону	1923684	1	0	0	9
Форма отчетности туроператора, осуществляющего деятельность в сфере выездного туризма	19211388	1	0	0	9
Здравствуйте. купили для рабочих нужд поломойщика за 300 тысяч	17667120	1	0	0	9
Здравствуйте, Эсперт письменно отправил ответ, но ссылка не открывается.	4948954	1	0	0	9
добрый день, подскажите пожалуйста, как можно получить консультацию эксперта	16003238	1	0	0	9
скиньте пжс образец форма для заполнения балансовой стоимости ОС	19148284	1	0	0	9
Добрый день, хотела бы узнать судьбу моего вопроса. Спасибо	7722504	1	0	0	9
Как учесть расходы по государственной экспертизе запасов полезных ископаемых	1506019	1	0	0	9
как провести в зуп сверхурочную работу при суммированном учете	10507039	1	0	0	9
Здравствуйте! При ликвидации ооо ефс 1 стаж нужно подавать?	3610338	1	0	0	9
как понять нужно считать налог на имущество или нет	18042643	1	0	0	9
То есть нужно считать компенсацию за просрочку аванса ?	654173	1	0	0	9
Здравствуйте. Не могу найти расчетчик больничного на самого работника.	2709453	1	0	0	9
Добрый день! Интересуют условия приема на работу граждан Туркмении	11311470	1	0	0	9
добрый день. нужна консультация по выплате пособия умершему сотруднику?	11980352	1	0	0	9
Доьрый день! Какое налогообложение с работной платы участиникам Сколково.	4566923	1	0	0	9
как подтвердить командировку если сотрудник ездил на личном автомобиле?	18382694	1	0	0	9
Добрый день. По исполнительному листу удерживается с больничного листа	2343417	1	0	0	9
ставка УСН доходы минус расходы оквэд 68.32.1 Смоленская область?	21775859	1	0	0	9
как начисляются алименты за последний день месяца 18 лет	7791634	1	0	0	9
Добрый вечер, отправляю вопрос письменно- пишет ошибка добавления вопроса	1939304	1	0	0	9
Доброе утро! Подскажите пожалуйста кто должен размещаться в федресурсах.	7256996	1	0	0	9
Здравствуйте, обязан ли работодатель давать работнику после увольнения характеристику	21029657	1	0	0	9
фИЗИЧЕСКОЕ ЛИЦО СОБСТВЕННИК ЗЕМЕЛЬНЫХ 2-х УЧАСТКОВ произвел их перераспределение:	1813798	1	0	0	9
Где регистрируется договор и доп соглашение в этом случае?	17651084	1	0	0	9
по какой стоимости в налоговом учете признаются излишки запасов	1599589	1	0	0	9
Здравствуйте. ИП/, ПСН, сотрудники. Каков предел дохода для ИП?	10207895	1	0	0	9
пришлите договор купли-продажи между двумя юридическими лицами инструментов инвентаря?	5863340	1	0	0	9
как учесть покупку бессрочной неисключительной лицензии крипто-про низкой стоимости	788046	1	0	0	9
Добрый день! Имеет ли право налоговая запросить штатное расписание?	9616258	1	0	0	9
Добрый день, какие предприятия обязаны принимать авручку через сбп	2407968	1	0	0	9
обязанности налогового агента у ООО при выкупе доли участника	3165647	1	0	0	9
Добрый день! Какие расходы может учитывать предприятие на ОСНО	548041	1	0	0	9
исчислению НДФЛ и страховых взносов на доход доверительного управляющего	8689208	1	0	0	9
А по месту прописки директора можно создать обособленное подразделение?	1561253	1	0	0	9
ставка рефинансирования при начислении пеней жкх в 2024 г.	927397	1	0	0	9
по какой форме сдаем декларацию ндс за 1 кв.2024	12529888	1	0	0	9
Здравствуйте, есть в ЕТКС должность бухгалтера по кассовым операциям	21029657	1	0	0	9
Добрый день, как правильно воспользоваться льготой для военных пенсионеров	933575	1	0	0	9
Добрый день! Телевизор из Беларусии относится к прослеживаемому товару	560081	1	0	0	9
по какой форме сдаем 6ндфл за 1 кв2024 г.?.	12529888	1	0	0	9
Добрый день, можно ли вернуть деньги оплаченные по договору-оферты?	950838	1	0	0	9
Добрый день! Облагается ли разовая материальная помощь страховыми взносами?	195197	1	0	0	9
Добрый день! Хотим перечислить в первый раз дивиденды учредителю.	658569	1	0	0	9
Подскажите, пожалуйста, как заполнить Расчет по форме КНД 1151056?	5908747	1	0	0	9
Подскажите реквизиты для оплаты налогов НДС и прибыли поменялись?	5855420	1	0	0	9
добрый день! как отражать возмещение расходов в бух учете?	18442732	1	0	0	9
Добрый день. Подскажите, порядок налогообложения сделки транспортной экспедиции у Экспедитора?	432874	1	0	0	10
Добрый день! как провезти оплату самозанятому в 1с пошаговая инструкция	21500221	1	0	0	10
Добрый день! На основании чего самозанятый не платит НДС, статью?	593010	1	0	0	10
Добрый день. Какие выплаты входят в среднемесячную зарплату по предприятию	21501535	1	0	0	10
Добрый день! Не работает он лайн чат консультации на сайте	8257510	1	0	0	10
пример заполнения декларации по усн с льготной налоговой ставкой 0	5962458	1	0	0	10
Обязательный ли аудит у некоммерческого БЛАГОТВОРИТЕЛЬНОГО ФОНДА в 20234 году	5187194	1	0	0	10
Для расчета налога на прибыль берем остаточную стоимость по бухучету?	1521664	1	0	0	10
"Подскажите образец документа ""справка уточняющая характер работы для оформления инвалидности"""	13032582	1	0	0	10
Госты за последний год по информационной безопасности, нужны списки стандартов	3037420	1	0	0	10
Здравствуйте, не могу найти ответ на свой вопрос. Можете помочь?	20307699	1	0	0	10
Добрый день! как оформить дарение доли 100 % в ООО?	21501536	1	0	0	10
Здравствуйте, возврат 13% за школьный лагерь, можно ссылку на закон?	3762018	1	0	0	10
Добрый день! Как с 2024 г. расходы на СБИС учитывать?	283650	1	0	0	10
Ставка Налога УСН доходы минус расходы в Республике Саха Якутия	19192413	1	0	0	10
добрый день логовор обследования имущества - учет бу и ну	5463825	1	0	0	10
Здравствуйте! Ведение учета с использованием автоматических устройств по приему денег?	1978631	1	0	0	10
Добрый день. Подскажите, пожалуйста, код ОКЗ для заместителя генерального директора	20395711	1	0	0	10
Можно ли внести взнос от учредителя не в уставный капитал	19093440	1	0	0	10
Добрый день. Какие отчеты нужно сдавать в трудовую инспекцию организациям?	18780800	1	0	0	10
помогите пож-та надоподтвердить оквэд, и необх-мо узнать ставку на 46.4	20464362	1	0	0	10
Добрый день! Несвоевременное представление нулевой декларации по прибыли за 2023год	3056871	1	0	0	10
Добрый день.Средняя зарплата в месяц по отрасли (ОКВЭД 41.20) составляет?	9522379	1	0	0	10
Добрый день как наказать материально-ответственное лицо при недостачи после инвентаризации.	21468243	1	0	0	10
Добрый день, какие проводки нужно создать при пополнении счета ЭСКРОУ	4058816	1	0	0	10
Добрый день. Может ли инвалид 2 группы работать самозанятым ?	8753884	1	0	0	10
Здравствуйте. Подскажите, как учесть приобретенный кондиционер для автомобиля стоимостью 160000руб.	298411	1	0	0	10
для приема на работу гражданина Таджикистана какие документы нужны ?	17432719	1	0	0	10
Здравствуйте. Какая ставка НДС при продаже соответсвует коду ТНВЭД 2104100000?	15780492	1	0	0	10
Здравствйкак поставщик должен отразить ндс по УКД на уменьшение ндс?	7814348	1	0	0	10
как оплачивать сокращенный рабочий день при суммированном учете рабочего времени	10507039	1	0	0	10
Ваш вопрос отправлен, эксперты ответят до 10:43, 3 апреля 2024.	665152	1	0	0	10
Нужна ли справка об отсутствии судимости при приеме на работу:	3353343	1	0	0	10
В КАКОМ СЛУЧАЕ ОРГАНИЗАЦИИ ДОЛЖНЫ СДЛАВАТЬ ВСЕ 5 ФОРМ ОТЧЕТНОСТИ?	14570296	1	0	0	10
нужно ли при увольнении передавать работнику выписку из персонифицированных сведений?	17209806	1	0	0	10
дДбрій день Идет ликвидация ООО Просим информацию о ликвидации поэтапно	21201462	1	0	0	10
Здравствуйте !Подлежат ли морозильные камеры,произведенные в России и Белорусии прослеживанию	454620	1	0	0	10
Доброый день. Можно меня добавить в чат в Систему Главбух.	2356169	1	0	0	10
нужно ли ип попавать уведомление ,если нет налога к уплате	10702929	1	0	0	10
Здравствуйте! Кому пожаловаться на бесконечные звонки и навязывание ваших услуг?	1957702	1	0	0	10
ЗДРАВСТВУЙТЕ ПРИШЛИТЕ ПОЖ-ТА ОБРАЗНЦ О ВЫХОДЕ СУПРУГА ИЗ СОСТАВЫА УЧРЕДИТЕЛЕЙ	20464362	1	0	0	10
здраствуйте. как оказать благотворительную помощь. Какие документы и проводки? Налогооблождение?	7482887	1	0	0	10
Нужно ли отправлять сзвд тд при переводе на 0,2 ставки?	20411137	1	0	0	10
Добрый день! Является ли договор первичным документом для Бух. учета	131021	1	0	0	10
https://1gl.ru/#/document/118/72088/ Подскажите, пожалуйста, нужно ли заверять такую доверенность у нотариуса?	15768159	1	0	0	10
Здравствуйте. В состав МРОТ входят выплаты за вредные условия труда?	4524430	1	0	0	10
Доброе утро! Что учесть у учетной политике для малого предприятия?	5415611	1	0	0	10
ип при перечислении ему по безналу должен пробивать чек ккт	4645820	1	0	0	10
Добрый день. А можно ссылку на мобильную версию системы главбух?	692284	1	0	0	10
как заполнить расчет по страховым взносам за 1 квартал 2024?	12717601	1	0	0	10
добрый день! задавали дополнительно вопрос письменно к ответу 02.04.2024 №4152608	7766706	1	0	0	10
какие документы необходимы от санатория для принятия затрат к учету	20880032	1	0	0	10
Добрый день! Подскажите какие выплаты физ лицам не облагаются НДФЛ.	17091416	1	0	0	10
Добрый день! Порядок списания бракованного товара. Брак обнаружен после приемки	18999596	1	0	0	10
Списание кредиторской задолженности должно увеличивать доход в КУДиР по УСН?	4451331	1	0	0	10
Добрый день. Спасибо, Но на основании какого документа я схлопываю??	119761	1	0	0	10
Добрый день. Подскажите, пожалуйста, НДПИ отражается по данным бухгалтерского учета?	1534745	1	0	0	10
Здравствуйте! подскажите нужно ли подтверждать код экономической деятельности по ИП?	4154935	1	0	0	10
Добрый день к какой амортизационной группе отнести автопогрузчик GHL CPCD30-XC5K2C	20966321	1	0	0	10
подскажите, пжст, если выставляется счет фактура обязательно ли акт выписывать?	18025810	1	0	0	10
Как проверить предоставил иностранный гражданин трудовой договор в миграционную службу?	9071900	1	0	0	10
"ИНН 2315175079 
Нужен акт сверки 1 квартал 2024
и закрывающие документы"	18025810	1	0	0	10
сроки сдачи ефс 1 раздел 1 подраздел 1.1 и 1,2	17809473	1	0	0	10
из федерации воднолыжного спорта РМЭ в федерации воднолыжного спорта России	19120784	1	0	0	10
Здравствуйте. Какой минимальный оклад на сотрудника составляет в 2024 году?	7924556	1	0	0	10
СОгласна подождать - интересуют льготы по:налог на прибыль, НДС, НДФЛ,страх.взносы	20441818	1	0	0	10
Здравствуйте. какую сумму налога НДФЛ можно возместить при покупке квартиры	1502568	1	0	0	10
Здравствуйте, влияет ли 0,5 ставки на пособие до 1,5 лет?	8307151	1	0	0	10
Здравствуйте, 6-НДФЛ за 1 кв нужно сдавать со справки 2-НДФЛ?	3006648	1	0	0	10
Добрый день. Подскажите как правильно сейчас провести ОСАГО, застраховали автомобиль.	2026123	1	0	0	10
когда нужно пробить чек на внесение торговой выручки через банк	11164406	1	0	0	10
Добрый день, как прикрепить файл, если задаю вопрос эксперту письменно?	2514695	1	0	0	10
Добрый день! При обнаружении ошибки можно ли сдать баланс корректирующий?	7707811	1	0	0	10
Добрый день! Ввели ли уже новый бланк СФ и УПД?	2432882	1	0	0	10
добрый день! Есть ли законодательные ограничения по номиналу подарочных сертификатов?	8388071	1	0	0	10
Заявление от юридического лица на возврат выплаченного пособия на погребение	6190020	1	0	0	10
надо подавать уведомления в Роскомнадзор если принимаешь или увольняешь работника	15431382	1	0	0	10
Налоговый и бухгалтерский учет расходов на такси используемые в организации	20235820	1	0	0	10
Добрый день.Вопросик :страхование а/крана осуществили до 01.01.2024 ставили на счет 97.21.	15303797	1	0	0	11
Нужно ли сдавать бухгалтерскую отчетность компании зарегистрированной в декабре 2023 года?	589274	1	0	0	11
